,x_input
68,"[0.06400001, 0.06999993, 0.05999994, 0.04699993, 0.051, 0.051, 0.051, 0.05400002, 0.05900002, 0.046, 0.06999993, 0.04799998, 0.046, 0.05699992, 0.0819999, 0.074]"
69,"[0.06699991, 0.06599998, 0.05999994, 0.051, 0.04799998, 0.051, 0.05299997, 0.051, 0.05900002, 0.04899991, 0.074, 0.04899991, 0.04899991, 0.05599999, 0.079, 0.074]"
70,"[0.06999993, 0.07099998, 0.06599998, 0.05599999, 0.051, 0.05199993, 0.05299997, 0.05499995, 0.06099999, 0.051, 0.07199991, 0.04999995, 0.04899991, 0.05699992, 0.079, 0.06699991]"
71,"[0.07199991, 0.07599998, 0.06900001, 0.05799997, 0.05400002, 0.05699992, 0.05400002, 0.05199993, 0.06299996, 0.05299997, 0.074, 0.06099999, 0.04999995, 0.06599998, 0.1099999, 0.08399999]"
72,"[0.07199991, 0.08099997, 0.06699991, 0.05799997, 0.05400002, 0.04899991, 0.05900002, 0.05900002, 0.06799996, 0.05599999, 0.06400001, 0.06099999, 0.05299997, 0.05900002, 0.07299995, 0.07499993]"
73,"[0.07199991, 0.07799995, 0.06900001, 0.06099999, 0.05299997, 0.04799998, 0.06499994, 0.06699991, 0.06499994, 0.05499995, 0.074, 0.06499994, 0.05299997, 0.05999994, 0.07999992, 0.0769999]"
74,"[0.074, 0.07999992, 0.07099998, 0.06799996, 0.05799997, 0.04100001, 0.06400001, 0.06299996, 0.06299996, 0.06599998, 0.0769999, 0.06400001, 0.05499995, 0.07099998, 0.06099999, 0.06299996]"
75,"[0.06299996, 0.06499994, 0.06199992, 0.05699992, 0.04799998, 0.03899992, 0.05799997, 0.01999998, 0.05599999, 0.05999994, 0.06699991, 0.06099999, 0.05499995, 0.06799996, 0.05400002, 0.05199993]"
76,"[0.05799997, 0.05900002, 0.05699992, 0.04399991, 0.04699993, 0.03899992, 0.05599999, 0.05400002, 0.05299997, 0.05199993, 0.05900002, 0.03799999, 0.03699994, 0.06299996, 0.05799997, 0.05799997]"
77,"[0.05699992, 0.05599999, 0.05599999, 0.051, 0.04799998, 0.03999996, 0.051, 0.05299997, 0.05400002, 0.051, 0.06099999, 0.04799998, 0.04199994, 0.05799997, 0.06400001, 0.06299996]"
78,"[0.05499995, 0.05799997, 0.05599999, 0.05299997, 0.04999995, 0.04100001, 0.05499995, 0.05400002, 0.04999995, 0.051, 0.06299996, 0.05499995, 0.04999995, 0.06999993, 0.06699991, 0.06299996]"
79,"[0.05900002, 0.05900002, 0.05999994, 0.05400002, 0.051, 0.04199994, 0.051, 0.05299997, 0.05499995, 0.05400002, 0.06299996, 0.05299997, 0.051, 0.074, 0.06699991, 0.06900001]"
80,"[0.05999994, 0.06099999, 0.05699992, 0.05400002, 0.04999995, 0.04699993, 0.05299997, 0.05199993, 0.05999994, 0.05599999, 0.06299996, 0.05799997, 0.05400002, 0.07999992, 0.07099998, 0.074]"
81,"[0.06499994, 0.06699991, 0.05599999, 0.05699992, 0.05400002, 0.05499995, 0.05299997, 0.05400002, 0.06199992, 0.05400002, 0.06499994, 0.051, 0.04699993, 0.05799997, 0.07499993, 0.08099997]"
82,"[0.06400001, 0.07099998, 0.06400001, 0.05199993, 0.05299997, 0.04899991, 0.05699992, 0.05900002, 0.05999994, 0.05499995, 0.04699993, 0.01600003, 0.01699996, 0.02999997, 0.08299994, 0.07999992]"
83,"[0.05599999, 0.05900002, 0.05499995, 0.046, 0.04699993, 0.04999995, 0.05400002, 0.05299997, 0.046, 0.05199993, 0.02199996, 0.01699996, 0.01499999, 0.03299999, 0.06999993, 0.06599998]"
84,"[0.023, 0.023, 0.03699994, 0.01999998, 0.01800001, 0.023, 0.02999997, 0.03600001, 0.02399993, 0.02699995, 0.03699994, 0.02199996, 0.01199996, 0.02600002, 0.04299998, 0.03199995]"
85,"[0.02399993, 0.02399993, 0.02999997, 0.02399993, 0.02199996, 0.02899992, 0.02899992, 0.04100001, 0.03199995, 0.03499997, 0.03899992, 0.02199996, 0.01699996, 0.03899992, 0.03899992, 0.02999997]"
86,"[0.028, 0.03199995, 0.03399992, 0.02600002, 0.02499998, 0.02499998, 0.03699994, 0.03600001, 0.028, 0.03199995, 0.03399992, 0.01899993, 0.02999997, 0.02399993, 0.02600002, 0.02499998]"
87,"[0.02699995, 0.02999997, 0.02999997, 0.02199996, 0.02100003, 0.01899993, 0.03299999, 0.03100002, 0.02100003, 0.02399993, 0.02600002, 0.01199996, 0.01699996, 0.01600003, 0.02499998, 0.02100003]"
88,"[0.02600002, 0.02399993, 0.02999997, 0.01600003, 0.01699996, 0.01600003, 0.03199995, 0.03499997, 0.01899993, 0.02199996, 0.02699995, 0.01499999, 0.01499999, 0.01499999, 0.02399993, 0.01699996]"
89,"[0.02399993, 0.02399993, 0.02600002, 0.01600003, 0.01699996, 0.01499999, 0.02699995, 0.02999997, 0.01800001, 0.02199996, 0.02399993, 0.01399994, 0.01199996, 0.01999998, 0.01999998, 0.01499999]"
90,"[0.01999998, 0.01800001, 0.023, 0.01199996, 0.01199996, 0.01199996, 0.023, 0.02600002, 0.01499999, 0.01999998, 0.023, 0.01399994, 0.00999999, 0.01699996, 0.01800001, 0.01199996]"
91,"[0.01699996, 0.01300001, 0.023, 0.00999999, 0.00999999, 0.01300001, 0.02100003, 0.02399993, 0.01199996, 0.01600003, 0.01800001, 0.00899994, 0.00800002, 0.01600003, 0.01600003, 0.01199996]"
92,"[0.01600003, 0.01499999, 0.02399993, 0.01199996, 0.01199996, 0.01300001, 0.01800001, 0.01999998, 0.01300001, 0.01499999, 0.01899993, 0.01199996, 0.00899994, 0.01499999, 0.01699996, 0.01199996]"
93,"[0.01999998, 0.01899993, 0.02999997, 0.01499999, 0.01600003, 0.01499999, 0.02199996, 0.02199996, 0.01699996, 0.01499999, 0.02600002, 0.01300001, 0.01099992, 0.01899993, 0.02100003, 0.01600003]"
94,"[0.03299999, 0.03399992, 0.03600001, 0.03399992, 0.03100002, 0.03199995, 0.03499997, 0.03600001, 0.03299999, 0.02899992, 0.04399991, 0.01199996, 0.02100003, 0.03299999, 0.04299998, 0.04199994]"
95,"[0.03799999, 0.03899992, 0.03199995, 0.03899992, 0.03999996, 0.03299999, 0.03600001, 0.02999997, 0.03499997, 0.03600001, 0.03799999, 0.02399993, 0.01600003, 0.03199995, 0.04499996, 0.04100001]"
96,"[0.03399992, 0.03699994, 0.03899992, 0.028, 0.023, 0.03299999, 0.02999997, 0.03699994, 0.03100002, 0.03299999, 0.02600002, 0.01999998, 0.02100003, 0.03999996, 0.03699994, 0.04100001]"
97,"[0.03100002, 0.02899992, 0.02499998, 0.02899992, 0.028, 0.03100002, 0.03799999, 0.03399992, 0.03199995, 0.02899992, 0.03100002, 0.028, 0.04100001, 0.01999998, 0.03199995, 0.028]"
98,"[0.04199994, 0.046, 0.03999996, 0.03199995, 0.03600001, 0.028, 0.02999997, 0.03399992, 0.03699994, 0.023, 0.04199994, 0.02499998, 0.03999996, 0.02199996, 0.03799999, 0.02600002]"
99,"[0.04499996, 0.04899991, 0.04399991, 0.03299999, 0.03600001, 0.02699995, 0.02699995, 0.03399992, 0.03499997, 0.02199996, 0.04299998, 0.023, 0.03999996, 0.01899993, 0.04299998, 0.02899992]"
100,"[0.04699993, 0.04799998, 0.046, 0.02899992, 0.03199995, 0.028, 0.02499998, 0.04199994, 0.03799999, 0.03100002, 0.046, 0.02100003, 0.03899992, 0.01800001, 0.04499996, 0.03100002]"
101,"[0.04499996, 0.04699993, 0.04499996, 0.02600002, 0.02899992, 0.02600002, 0.04399991, 0.04199994, 0.03899992, 0.02399993, 0.03899992, 0.02100003, 0.03199995, 0.02699995, 0.03999996, 0.02499998]"
102,"[0.04100001, 0.04499996, 0.046, 0.02399993, 0.03299999, 0.02600002, 0.03100002, 0.03999996, 0.03100002, 0.01800001, 0.03499997, 0.023, 0.03100002, 0.02100003, 0.03399992, 0.028]"
103,"[0.03100002, 0.03699994, 0.03399992, 0.02499998, 0.03199995, 0.02100003, 0.03100002, 0.03600001, 0.02699995, 0.02100003, 0.028, 0.02600002, 0.01699996, 0.01699996, 0.02999997, 0.02999997]"
