,x_input
91,"[1.0999999, 0.99999988, 0.99999988, 1.29999995, 1.20000005, 0.89999998, 0.99999988, 1.0999999, 1.0999999, 0.99999988, 0.99999988, 0.89999998, 0.89999998, 0.99999988, 0.89999998, 0.79999995]"
92,"[0.89999998, 0.89999998, 0.89999998, 1.20000005, 1.20000005, 0.79999995, 0.89999998, 1.0999999, 0.99999988, 0.99999988, 1.0999999, 0.89999998, 0.89999998, 0.99999988, 0.79999995, 0.5999999]"
93,"[0.89999998, 0.89999998, 0.79999995, 1.0999999, 0.99999988, 0.79999995, 0.79999995, 0.99999988, 0.89999998, 0.89999998, 0.99999988, 0.79999995, 0.79999995, 0.89999998, 0.79999995, 0.69999993]"
94,"[0.69999993, 0.79999995, 0.69999993, 0.89999998, 0.79999995, 0.79999995, 0.69999993, 0.89999998, 0.79999995, 0.79999995, 0.79999995, 0.79999995, 0.69999993, 0.79999995, 0.79999995, 0.69999993]"
95,"[0.69999993, 0.69999993, 0.69999993, 0.89999998, 0.79999995, 0.79999995, 0.5999999, 0.79999995, 0.79999995, 0.79999995, 0.79999995, 0.79999995, 0.69999993, 0.79999995, 0.79999995, 0.69999993]"
96,"[0.79999995, 0.69999993, 0.69999993, 0.89999998, 0.99999988, 0.79999995, 0.69999993, 0.79999995, 0.79999995, 0.89999998, 0.79999995, 0.89999998, 0.69999993, 0.89999998, 0.69999993, 0.5999999]"
97,"[0.79999995, 0.69999993, 0.69999993, 0.79999995, 0.79999995, 0.69999993, 0.79999995, 0.79999995, 0.89999998, 0.79999995, 0.79999995, 0.5999999, 0.79999995, 0.69999993, 0.5999999, 0.5999999]"
98,"[0.69999993, 0.5999999, 0.5999999, 0.69999993, 0.69999993, 0.5, 0.5999999, 0.69999993, 0.69999993, 0.5999999, 0.69999993, 0.5, 0.5999999, 0.5, 0.5, 0.5]"
99,"[0.5999999, 0.5, 0.5, 0.5, 0.69999993, 0.5, 0.5999999, 0.5999999, 0.69999993, 0.5999999, 0.5999999, 0.5, 0.5, 0.5999999, 0.5, 0.39999998]"
100,"[0.5, 0.39999998, 0.39999998, 0.39999998, 0.5, 0.29999995, 0.39999998, 0.5, 0.5, 0.5, 0.5, 0.39999998, 0.39999998, 0.39999998, 0.39999998, 0.29999995]"
101,"[0.39999998, 0.29999995, 0.39999998, 0.39999998, 0.5, 0.29999995, 0.29999995, 0.39999998, 0.5, 0.5, 0.39999998, 0.39999998, 0.39999998, 0.39999998, 0.39999998, 0.29999995]"
102,"[0.39999998, 0.29999995, 0.39999998, 0.5, 0.5, 0.29999995, 0.29999995, 0.39999998, 0.5, 0.39999998, 0.39999998, 0.39999998, 0.39999998, 0.39999998, 0.39999998, 0.39999998]"
103,"[0.5, 0.39999998, 0.39999998, 0.5999999, 0.5999999, 0.29999995, 0.39999998, 0.39999998, 0.5, 0.39999998, 0.5, 0.5, 0.39999998, 0.39999998, 0.5, 0.29999995]"
104,"[0.5, 0.39999998, 0.39999998, 0.5999999, 0.5999999, 0.39999998, 0.39999998, 0.39999998, 0.5999999, 0.5, 0.5, 0.39999998, 0.39999998, 0.5, 0.5, 0.5]"
105,"[0.5, 0.39999998, 0.39999998, 0.5999999, 0.99999988, 0.5, 0.39999998, 0.39999998, 0.5999999, 0.5999999, 0.5, 0.5999999, 0.39999998, 0.5, 0.5999999, 0.5]"
106,"[0.5, 0.5, 0.39999998, 0.5999999, 0.69999993, 0.5, 0.39999998, 0.5, 0.5999999, 0.5999999, 0.5, 0.5, 0.5, 0.69999993, 0.5, 0.5]"
107,"[0.5999999, 0.5, 0.39999998, 0.5999999, 0.79999995, 0.5, 0.5, 0.5, 0.5999999, 0.5, 0.5999999, 0.69999993, 0.5999999, 0.39999998, 0.5, 0.5]"
108,"[0.79999995, 0.5999999, 0.5, 0.5999999, 1.20000005, 0.5, 0.5, 0.5, 0.5999999, 0.5, 0.69999993, 0.79999995, 0.5999999, 0.5, 0.5999999, 0.5]"
109,"[0.69999993, 0.5999999, 0.5999999, 0.5999999, 1.29999995, 0.5999999, 0.5, 0.5, 0.69999993, 0.5, 0.69999993, 0.5, 0.5999999, 0.5, 0.5999999, 0.5]"
110,"[0.79999995, 0.5999999, 0.69999993, 0.5999999, 1.29999995, 0.5999999, 0.5, 0.5999999, 0.69999993, 0.5, 0.69999993, 0.5999999, 0.69999993, 0.5, 0.69999993, 0.5]"
111,"[0.69999993, 0.5999999, 0.79999995, 0.5999999, 1.29999995, 0.5999999, 0.69999993, 0.69999993, 0.69999993, 0.69999993, 0.69999993, 0.5, 0.5999999, 0.69999993, 0.69999993, 0.5]"
112,"[0.69999993, 0.69999993, 0.79999995, 0.5999999, 1.0999999, 0.5999999, 0.5, 0.69999993, 0.69999993, 0.5999999, 0.69999993, 0.5999999, 0.69999993, 0.5999999, 0.5999999, 0.5999999]"
