,x_input
56,"[18.55061531, 18.40847969, 18.55061531, 19.10808182, 19.10808182, 20.54864311, 19.10808182, 17.85599136, 19.10808182, 17.85599136, 17.22476578, 17.54592705, 17.54592705, 9.62036705, 22.13050461, 24.54292679, 21.8074646, 22.13050461, 19.39068031, 20.83813477, 20.83813477, 18.82203674, 17.54592705, 18.40847969, 17.85599136]"
57,"[18.40847969, 19.10808182, 18.13277435, 19.68270874, 19.39068031, 19.98046494, 18.40847969, 17.54592705, 18.40847969, 18.40847969, 9.62036705, 18.40847969, 9.62036705, 16.92640877, 21.8074646, 23.67345047, 22.13050461, 20.2694912, 19.39068031, 20.2694912, 20.54864311, 19.39068031, 17.85599136, 18.13277435, 17.85599136]"
58,"[9.62036705, 17.54592705, 16.42340088, 18.82203674, 17.85599136, 19.10808182, 16.42340088, 15.50184059, 9.62036705, 16.42340088, 16.07157898, 9.62036705, 16.07157898, 16.07157898, 9.62036705, 19.98046494, 20.83813477, 19.10808182, 19.10808182, 19.10808182, 20.2694912, 16.92640877, 16.42340088, 16.07157898, 16.07157898]"
59,"[15.50184059, 16.92640877, 14.35023308, 9.62036705, 16.07157898, 16.42340088, 14.35023308, 11.13674736, 15.50184059, 14.35023308, 15.50184059, 14.35023308, 15.50184059, 14.35023308, 9.62036705, 16.92640877, 9.62036705, 14.35023308, 9.62036705, 16.42340088, 17.85599136, 15.50184059, 14.35023308, 14.35023308, 14.35023308]"
60,"[14.35023308, 15.50184059, 11.13674736, 16.07157898, 14.35023308, 15.50184059, 14.35023308, 11.13674736, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 16.92640877, 14.35023308, 9.62036705, 15.50184059, 14.35023308, 11.13674736, 16.92640877, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
61,"[15.50184059, 14.35023308, 11.13674736, 16.07157898, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 15.50184059, 14.35023308, 14.35023308, 15.50184059, 9.62036705, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 11.13674736, 16.92640877, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
62,"[15.50184059, 16.42340088, 11.13674736, 16.07157898, 15.50184059, 14.35023308, 14.35023308, 11.13674736, 15.50184059, 14.35023308, 14.35023308, 15.50184059, 16.07157898, 14.35023308, 11.13674736, 15.50184059, 11.13674736, 11.13674736, 16.92640877, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
63,"[14.35023308, 14.35023308, 14.35023308, 16.07157898, 16.07157898, 14.35023308, 14.35023308, 11.13674736, 14.35023308, 15.50184059, 14.35023308, 16.07157898, 15.50184059, 14.35023308, 15.50184059, 15.50184059, 11.13674736, 14.35023308, 16.92640877, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
64,"[14.35023308, 14.35023308, 11.13674736, 16.07157898, 16.07157898, 14.35023308, 14.35023308, 11.13674736, 15.50184059, 14.35023308, 14.35023308, 16.92640877, 9.62036705, 14.35023308, 11.13674736, 14.35023308, 11.13674736, 14.35023308, 16.42340088, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
65,"[14.35023308, 14.35023308, 11.13674736, 16.07157898, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 15.50184059, 14.35023308, 14.35023308, 16.07157898, 15.50184059, 14.35023308, 11.13674736, 14.35023308, 11.13674736, 11.13674736, 9.62036705, 14.35023308, 14.35023308, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
66,"[14.35023308, 14.35023308, 11.13674736, 16.07157898, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 15.50184059, 14.35023308, 11.13674736, 14.35023308, 11.13674736, 11.13674736, 16.42340088, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
67,"[14.35023308, 14.35023308, 11.13674736, 16.07157898, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 15.50184059, 14.35023308, 11.13674736, 14.35023308, 11.13674736, 14.35023308, 16.42340088, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
68,"[14.35023308, 14.35023308, 14.35023308, 16.07157898, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 15.50184059, 14.35023308, 11.13674736, 14.35023308, 11.13674736, 11.13674736, 16.42340088, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
69,"[14.35023308, 14.35023308, 11.13674736, 16.07157898, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 14.35023308, 14.35023308, 14.35023308, 14.35023308, 15.50184059, 14.35023308, 11.13674736, 14.35023308, 11.13674736, 11.13674736, 16.42340088, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
70,"[14.35023308, 14.35023308, 11.13674736, 16.07157898, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 14.35023308, 14.35023308, 11.13674736, 14.35023308, 11.13674736, 11.13674736, 16.92640877, 15.50184059, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
71,"[14.35023308, 14.35023308, 11.13674736, 16.07157898, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 14.35023308, 14.35023308, 14.35023308, 14.35023308, 15.50184059, 14.35023308, 11.13674736, 14.35023308, 9.62036705, 11.13674736, 16.92640877, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
72,"[14.35023308, 14.35023308, 11.13674736, 16.07157898, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 14.35023308, 14.35023308, 14.35023308, 14.35023308, 15.50184059, 14.35023308, 11.13674736, 14.35023308, 14.35023308, 11.13674736, 16.42340088, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
73,"[14.35023308, 14.35023308, 14.35023308, 16.07157898, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 14.35023308, 14.35023308, 14.35023308, 14.35023308, 15.50184059, 14.35023308, 11.13674736, 14.35023308, 11.13674736, 11.13674736, 16.42340088, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
74,"[14.35023308, 14.35023308, 14.35023308, 16.07157898, 15.50184059, 14.35023308, 15.50184059, 11.13674736, 15.50184059, 14.35023308, 15.50184059, 14.35023308, 15.50184059, 14.35023308, 11.13674736, 15.50184059, 11.13674736, 14.35023308, 16.42340088, 15.50184059, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
