,x_input
101,"[16.0, 19.0, 20.0, 14.99999905, 20.0, 24.0, 22.0, 20.0, 23.0, 19.0, 22.0, 18.0, 16.0, 22.0, 23.0, 21.0]"
102,"[18.0, 17.0, 18.0, 12.0, 18.0, 22.0, 23.0, 24.0, 27.0, 21.0, 21.0, 21.0, 21.0, 24.0, 23.0, 23.0]"
103,"[21.0, 20.0, 22.0, 16.0, 22.0, 22.0, 24.0, 21.0, 27.0, 24.0, 23.0, 22.0, 23.0, 32.0, 24.0, 22.0]"
104,"[19.0, 19.0, 20.0, 16.0, 22.0, 17.0, 20.0, 27.0, 28.0, 23.0, 22.0, 24.0, 22.0, 27.0, 26.00000191, 25.0]"
105,"[21.0, 22.0, 22.0, 21.0, 24.0, 24.0, 27.0, 28.0, 32.0, 27.0, 25.0, 27.0, 26.00000191, 28.0, 25.0, 24.0]"
106,"[22.0, 25.0, 25.0, 22.0, 28.0, 25.0, 27.0, 27.0, 37.0, 22.0, 22.0, 29.99999809, 29.99999809, 29.99999809, 27.0, 29.0]"
107,"[23.0, 25.0, 24.0, 22.0, 35.0, 29.0, 35.0, 26.00000191, 38.0, 23.0, 29.0, 34.0, 34.0, 31.00000191, 25.0, 25.0]"
108,"[28.0, 29.0, 28.0, 22.0, 34.0, 29.99999809, 36.0, 28.0, 43.0, 22.0, 26.00000191, 39.0, 36.0, 36.0, 27.0, 23.0]"
109,"[27.0, 32.0, 33.0, 33.0, 38.0, 35.0, 36.0, 35.0, 49.0, 23.0, 21.0, 47.00000381, 37.0, 31.00000191, 28.0, 27.0]"
110,"[27.0, 33.0, 38.0, 23.0, 29.0, 26.00000191, 34.0, 37.0, 48.0, 32.0, 27.0, 49.0, 39.0, 38.0, 35.0, 27.0]"
111,"[17.0, 26.00000191, 34.0, 21.0, 26.00000191, 23.0, 31.00000191, 32.0, 31.00000191, 27.0, 13.00000095, 33.0, 24.0, 41.0, 23.0, 14.99999905]"
112,"[20.0, 20.0, 26.00000191, 22.0, 16.0, 8.0, 38.0, 32.0, 29.99999809, 24.0, 17.0, 26.00000191, 17.0, 31.00000191, 17.0, 12.0]"
113,"[13.00000095, 16.0, 19.0, 9.0, 11.0, 12.0, 32.0, 21.0, 22.0, 18.0, 16.0, 25.0, 16.0, 28.0, 19.0, 14.0]"
114,"[14.0, 13.00000095, 14.99999905, 10.0, 11.0, 14.99999905, 19.0, 17.0, 16.0, 16.0, 7.0, 22.0, 17.0, 26.00000191, 14.99999905, 14.0]"
115,"[10.0, 13.00000095, 13.00000095, 14.0, 12.0, 19.0, 17.0, 9.0, 12.0, 14.0, 10.0, 16.0, 9.0, 19.0, 17.0, 14.99999905]"
116,"[11.0, 13.00000095, 12.0, 14.0, 19.0, 17.0, 18.0, 20.0, 12.0, 13.00000095, 7.0, 12.0, 13.00000095, 14.99999905, 17.0, 17.0]"
117,"[16.0, 14.99999905, 16.0, 17.0, 18.0, 19.0, 13.00000095, 13.00000095, 19.0, 14.99999905, 14.99999905, 17.0, 13.00000095, 23.0, 16.0, 17.0]"
118,"[14.99999905, 16.0, 14.99999905, 16.0, 21.0, 18.0, 17.0, 17.0, 18.0, 14.0, 21.0, 17.0, 14.99999905, 20.0, 19.0, 20.0]"
119,"[16.0, 16.0, 16.0, 14.99999905, 23.0, 29.0, 21.0, 23.0, 24.0, 20.0, 16.0, 22.0, 17.0, 23.0, 23.0, 21.0]"
120,"[19.0, 18.0, 17.0, 11.0, 25.0, 33.0, 19.0, 27.0, 31.00000191, 25.0, 20.0, 20.0, 23.0, 25.0, 23.0, 25.0]"
121,"[20.0, 19.0, 19.0, 16.0, 25.0, 28.0, 27.0, 29.0, 31.00000191, 23.0, 21.0, 25.0, 24.0, 27.0, 23.0, 25.0]"
122,"[23.0, 20.0, 19.0, 16.0, 25.0, 21.0, 29.0, 25.0, 32.0, 24.0, 22.0, 23.0, 26.00000191, 27.0, 29.99999809, 24.0]"
