,x_input
37,"[20.50147247, 20.50147247, 20.50147247, 30.58232117, 16.35793304, 12.86226368, 16.35793304, 20.50147247, 34.56784439, 10.85316372, 20.50147247, 20.50147247, 20.50147247, 25.40196991, 16.35793304, 34.56784439, 30.58232117, 30.58232117, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
38,"[20.50147247, 20.50147247, 20.50147247, 30.58232117, 20.50147247, 12.86226368, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 36.45310974, 30.58232117, 30.58232117, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 30.58232117]"
39,"[25.40196991, 20.50147247, 20.50147247, 30.58232117, 36.45310974, 12.86226368, 16.35793304, 20.50147247, 34.56784439, 34.56784439, 20.50147247, 16.35793304, 20.50147247, 30.58232117, 16.35793304, 36.45310974, 30.58232117, 25.40196991, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 25.40196991]"
40,"[20.50147247, 20.50147247, 20.50147247, 25.40196991, 36.45310974, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 34.56784439, 20.50147247, 16.35793304, 20.50147247, 34.56784439, 16.35793304, 36.45310974, 34.56784439, 30.58232117, 25.40196991, 20.50147247, 10.85316372, 30.58232117, 10.85316372, 25.40196991, 30.58232117]"
41,"[20.50147247, 20.50147247, 20.50147247, 25.40196991, 30.58232117, 12.86226368, 16.35793304, 20.50147247, 36.45310974, 10.85316372, 20.50147247, 16.35793304, 20.50147247, 10.85316372, 16.35793304, 10.85316372, 10.85316372, 25.40196991, 25.40196991, 20.50147247, 30.58232117, 25.40196991, 20.50147247, 25.40196991, 25.40196991]"
42,"[20.50147247, 20.50147247, 20.50147247, 30.58232117, 16.35793304, 12.86226368, 16.35793304, 20.50147247, 34.56784439, 30.58232117, 20.50147247, 16.35793304, 20.50147247, 30.58232117, 16.35793304, 25.40196991, 25.40196991, 25.40196991, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117]"
43,"[20.50147247, 20.50147247, 16.35793304, 30.58232117, 25.40196991, 12.86226368, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 30.58232117, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117]"
44,"[20.50147247, 20.50147247, 16.35793304, 25.40196991, 10.85316372, 12.86226368, 16.35793304, 20.50147247, 10.85316372, 10.85316372, 20.50147247, 12.86226368, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 30.58232117, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
45,"[20.50147247, 16.35793304, 16.35793304, 20.50147247, 30.58232117, 12.86226368, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 30.58232117, 16.35793304, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
46,"[20.50147247, 16.35793304, 16.35793304, 20.50147247, 34.56784439, 12.86226368, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 25.40196991, 12.86226368, 20.50147247, 25.40196991, 12.86226368, 25.40196991, 30.58232117, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
47,"[20.50147247, 16.35793304, 16.35793304, 20.50147247, 36.45310974, 12.86226368, 16.35793304, 20.50147247, 34.56784439, 34.56784439, 20.50147247, 12.86226368, 20.50147247, 25.40196991, 12.86226368, 25.40196991, 30.58232117, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 20.50147247, 20.50147247, 25.40196991]"
48,"[20.50147247, 16.35793304, 16.35793304, 20.50147247, 36.45310974, 12.86226368, 16.35793304, 20.50147247, 34.56784439, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 30.58232117, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117]"
49,"[20.50147247, 16.35793304, 20.50147247, 25.40196991, 34.56784439, 16.35793304, 16.35793304, 25.40196991, 34.56784439, 10.85316372, 25.40196991, 12.86226368, 25.40196991, 30.58232117, 16.35793304, 25.40196991, 30.58232117, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 25.40196991, 25.40196991, 20.50147247, 25.40196991]"
50,"[25.40196991, 16.35793304, 20.50147247, 25.40196991, 10.85316372, 16.35793304, 20.50147247, 25.40196991, 34.56784439, 34.56784439, 25.40196991, 16.35793304, 25.40196991, 30.58232117, 16.35793304, 25.40196991, 30.58232117, 20.50147247, 25.40196991, 20.50147247, 30.58232117, 25.40196991, 25.40196991, 25.40196991, 30.58232117]"
51,"[25.40196991, 20.50147247, 25.40196991, 25.40196991, 36.45310974, 16.35793304, 25.40196991, 25.40196991, 10.85316372, 10.85316372, 25.40196991, 20.50147247, 25.40196991, 30.58232117, 16.35793304, 30.58232117, 10.85316372, 30.58232117, 25.40196991, 20.50147247, 30.58232117, 25.40196991, 30.58232117, 25.40196991, 25.40196991]"
52,"[25.40196991, 20.50147247, 25.40196991, 30.58232117, 25.40196991, 12.86226368, 20.50147247, 25.40196991, 36.45310974, 34.56784439, 30.58232117, 20.50147247, 25.40196991, 30.58232117, 16.35793304, 10.85316372, 10.85316372, 30.58232117, 25.40196991, 25.40196991, 30.58232117, 25.40196991, 30.58232117, 25.40196991, 30.58232117]"
53,"[25.40196991, 20.50147247, 25.40196991, 30.58232117, 16.35793304, 16.35793304, 20.50147247, 25.40196991, 36.45310974, 10.85316372, 30.58232117, 25.40196991, 25.40196991, 30.58232117, 20.50147247, 30.58232117, 34.56784439, 30.58232117, 25.40196991, 20.50147247, 30.58232117, 25.40196991, 30.58232117, 30.58232117, 30.58232117]"
54,"[25.40196991, 20.50147247, 20.50147247, 30.58232117, 16.35793304, 12.86226368, 20.50147247, 25.40196991, 36.45310974, 34.56784439, 30.58232117, 25.40196991, 25.40196991, 30.58232117, 16.35793304, 20.50147247, 10.85316372, 25.40196991, 25.40196991, 20.50147247, 30.58232117, 25.40196991, 25.40196991, 25.40196991, 30.58232117]"
55,"[25.40196991, 20.50147247, 20.50147247, 30.58232117, 16.35793304, 12.86226368, 20.50147247, 25.40196991, 34.56784439, 34.56784439, 25.40196991, 25.40196991, 25.40196991, 10.85316372, 16.35793304, 20.50147247, 30.58232117, 25.40196991, 20.50147247, 20.50147247, 25.40196991, 25.40196991, 16.35793304, 20.50147247, 30.58232117]"
56,"[25.40196991, 20.50147247, 20.50147247, 30.58232117, 16.35793304, 12.86226368, 20.50147247, 25.40196991, 34.56784439, 10.85316372, 25.40196991, 25.40196991, 20.50147247, 30.58232117, 16.35793304, 20.50147247, 30.58232117, 25.40196991, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 10.85316372, 25.40196991, 30.58232117]"
57,"[25.40196991, 20.50147247, 20.50147247, 25.40196991, 16.35793304, 12.86226368, 16.35793304, 25.40196991, 30.58232117, 34.56784439, 25.40196991, 10.85316372, 20.50147247, 10.85316372, 16.35793304, 25.40196991, 30.58232117, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 25.40196991, 25.40196991, 25.40196991, 10.85316372]"
58,"[25.40196991, 20.50147247, 20.50147247, 25.40196991, 16.35793304, 12.86226368, 16.35793304, 25.40196991, 10.85316372, 34.56784439, 25.40196991, 10.85316372, 25.40196991, 10.85316372, 11.05874348, 10.85316372, 30.58232117, 25.40196991, 25.40196991, 16.35793304, 25.40196991, 25.40196991, 30.58232117, 20.50147247, 30.58232117]"
59,"[20.50147247, 20.50147247, 20.50147247, 25.40196991, 34.56784439, 16.35793304, 16.35793304, 25.40196991, 30.58232117, 10.85316372, 20.50147247, 16.35793304, 25.40196991, 10.85316372, 10.85316372, 34.56784439, 10.85316372, 30.58232117, 25.40196991, 16.35793304, 25.40196991, 25.40196991, 25.40196991, 20.50147247, 10.85316372]"
60,"[25.40196991, 16.35793304, 16.35793304, 25.40196991, 39.55387878, 16.35793304, 16.35793304, 25.40196991, 10.85316372, 10.85316372, 25.40196991, 20.50147247, 20.50147247, 39.74495697, 10.85316372, 39.74495697, 39.55387878, 10.85316372, 30.58232117, 20.50147247, 10.85316372, 25.40196991, 25.40196991, 20.50147247, 30.58232117]"
61,"[30.58232117, 25.40196991, 25.40196991, 10.85316372, 10.85316372, 16.35793304, 20.50147247, 25.40196991, 36.45310974, 36.45310974, 25.40196991, 20.50147247, 20.50147247, 39.55387878, 20.50147247, 39.74495697, 39.93603134, 30.58232117, 30.58232117, 30.58232117, 34.56784439, 34.56784439, 34.56784439, 30.58232117, 10.85316372]"
62,"[25.40196991, 25.40196991, 25.40196991, 30.58232117, 34.56784439, 16.35793304, 20.50147247, 25.40196991, 36.45310974, 34.56784439, 25.40196991, 20.50147247, 20.50147247, 34.56784439, 16.35793304, 36.45310974, 39.55387878, 10.85316372, 25.40196991, 25.40196991, 39.55387878, 34.56784439, 10.85316372, 10.85316372, 10.85316372]"
63,"[25.40196991, 25.40196991, 20.50147247, 25.40196991, 36.45310974, 16.35793304, 20.50147247, 25.40196991, 10.85316372, 10.85316372, 25.40196991, 16.35793304, 25.40196991, 36.45310974, 20.50147247, 30.58232117, 10.85316372, 34.56784439, 25.40196991, 25.40196991, 10.85316372, 30.58232117, 30.58232117, 10.85316372, 10.85316372]"
64,"[25.40196991, 20.50147247, 20.50147247, 25.40196991, 34.56784439, 16.35793304, 20.50147247, 25.40196991, 34.56784439, 34.56784439, 25.40196991, 16.35793304, 20.50147247, 39.55387878, 16.35793304, 30.58232117, 34.56784439, 10.85316372, 25.40196991, 30.58232117, 34.56784439, 30.58232117, 10.85316372, 10.85316372, 10.85316372]"
65,"[25.40196991, 25.40196991, 20.50147247, 25.40196991, 10.85316372, 16.35793304, 25.40196991, 25.40196991, 36.45310974, 34.56784439, 25.40196991, 20.50147247, 20.50147247, 39.55387878, 16.35793304, 39.74495697, 36.45310974, 30.58232117, 25.40196991, 25.40196991, 10.85316372, 30.58232117, 30.58232117, 10.85316372, 30.58232117]"
66,"[25.40196991, 20.50147247, 20.50147247, 25.40196991, 10.85316372, 20.50147247, 25.40196991, 25.40196991, 34.56784439, 10.85316372, 25.40196991, 16.35793304, 25.40196991, 36.45310974, 16.35793304, 39.55387878, 36.45310974, 30.58232117, 25.40196991, 20.50147247, 10.85316372, 30.58232117, 30.58232117, 30.58232117, 10.85316372]"
67,"[25.40196991, 20.50147247, 25.40196991, 25.40196991, 34.56784439, 16.35793304, 20.50147247, 25.40196991, 36.45310974, 10.85316372, 25.40196991, 16.35793304, 25.40196991, 10.85316372, 20.50147247, 30.58232117, 39.55387878, 30.58232117, 25.40196991, 20.50147247, 30.58232117, 25.40196991, 10.85316372, 30.58232117, 25.40196991]"
68,"[25.40196991, 25.40196991, 25.40196991, 25.40196991, 10.85316372, 16.35793304, 20.50147247, 25.40196991, 30.58232117, 10.85316372, 25.40196991, 16.35793304, 25.40196991, 34.56784439, 20.50147247, 30.58232117, 10.85316372, 25.40196991, 25.40196991, 20.50147247, 30.58232117, 25.40196991, 25.40196991, 30.58232117, 10.85316372]"
69,"[25.40196991, 25.40196991, 20.50147247, 25.40196991, 10.85316372, 20.50147247, 16.35793304, 25.40196991, 34.56784439, 10.85316372, 25.40196991, 16.35793304, 20.50147247, 30.58232117, 20.50147247, 10.85316372, 36.45310974, 25.40196991, 30.58232117, 25.40196991, 30.58232117, 30.58232117, 30.58232117, 25.40196991, 25.40196991]"
70,"[25.40196991, 20.50147247, 20.50147247, 25.40196991, 10.85316372, 20.50147247, 20.50147247, 25.40196991, 34.56784439, 30.58232117, 25.40196991, 16.35793304, 20.50147247, 10.85316372, 16.35793304, 36.45310974, 34.56784439, 20.50147247, 25.40196991, 20.50147247, 30.58232117, 25.40196991, 10.85316372, 25.40196991, 10.85316372]"
71,"[25.40196991, 25.40196991, 25.40196991, 25.40196991, 30.58232117, 20.50147247, 20.50147247, 25.40196991, 10.85316372, 10.85316372, 30.58232117, 16.35793304, 25.40196991, 10.85316372, 20.50147247, 10.85316372, 34.56784439, 25.40196991, 25.40196991, 25.40196991, 30.58232117, 30.58232117, 10.85316372, 25.40196991, 10.85316372]"
72,"[25.40196991, 30.58232117, 25.40196991, 25.40196991, 10.85316372, 20.50147247, 20.50147247, 25.40196991, 34.56784439, 34.56784439, 25.40196991, 16.35793304, 25.40196991, 10.85316372, 16.35793304, 34.56784439, 39.55387878, 25.40196991, 25.40196991, 25.40196991, 30.58232117, 25.40196991, 30.58232117, 25.40196991, 25.40196991]"
73,"[25.40196991, 25.40196991, 25.40196991, 30.58232117, 34.56784439, 20.50147247, 25.40196991, 25.40196991, 10.85316372, 10.85316372, 25.40196991, 16.35793304, 25.40196991, 10.85316372, 20.50147247, 34.56784439, 36.45310974, 25.40196991, 25.40196991, 30.58232117, 30.58232117, 30.58232117, 30.58232117, 30.58232117, 10.85316372]"
74,"[25.40196991, 25.40196991, 25.40196991, 30.58232117, 36.45310974, 20.50147247, 25.40196991, 25.40196991, 36.45310974, 36.45310974, 30.58232117, 20.50147247, 30.58232117, 10.85316372, 25.40196991, 34.56784439, 36.45310974, 30.58232117, 25.40196991, 30.58232117, 10.85316372, 30.58232117, 10.85316372, 25.40196991, 30.58232117]"
